가	k a
입끔	i p̚ k͈ ɯ m
입빠른	i p̚ p͈ a ɾ ɯ n
입싸를	i p̚ s͈ a ɾ ɯ l
입쑤레	i p̚ s͈ u ɾ e
입쑤레는	i p̚ s͈ u ɾ e n ɯ n
입쑤를	i p̚ s͈ u ɾ ɯ l
입쑬	i p̚ s͈ u l
입쑬과	i p̚ s͈ u l k w a
입찌	i p̚ t͡ɕ͈ i
잉명성과	i ŋ m j ʌ ŋ s ʌ ŋ k w a
자	t͡ɕ a
자가	t͡ɕ a g a
자겨글	t͡ɕ a g j ʌ k ɯ l
자근	t͡ɕ a g ɯ n
자기	t͡ɕ a g i
자기가	t͡ɕ a g i k a
자기는	t͡ɕ a g i n ɯ n
자기드를	t͡ɕ a g i d ɯ ɾ ɯ l
자기드리	t͡ɕ a g i d ɯ ɾ i
자기를	t͡ɕ a g i ɾ ɯ l
자기에게	t͡ɕ a g i e g e
자기와의	t͡ɕ a g i w a ɰ i
자기의	t͡ɕ a g i ɰ i
자꾸	t͡ɕ a k͈ u
자네가	t͡ɕ a n e g a
자네를	t͡ɕ a n e ɾ ɯ l
자녀드를	t͡ɕ a n j ʌ d ɯ ɾ ɯ l
자는	t͡ɕ a n ɯ n
자니이까	t͡ɕ a n i i k͈ a
자동차	t͡ɕ a d o ŋ t͡ɕʰ a
자라	t͡ɕ a ɾ a
자라난	t͡ɕ a ɾ a n a n
자라야	t͡ɕ a ɾ a j a
자랑하고	t͡ɕ a ɾ a ŋ h a g o
자랑하는	t͡ɕ a ɾ a ŋ h a n ɯ n
자로	t͡ɕ a ɾ o
자를	t͡ɕ a ɾ ɯ l
자리	t͡ɕ a ɾ i
자리가	t͡ɕ a ɾ i g a
자리를	t͡ɕ a ɾ i l ɯ l
자리에	t͡ɕ a ɾ i e
자리에가	t͡ɕ a ɾ i e g a
자리에서	t͡ɕ a ɾ i e s ʌ
자머니라	t͡ɕ a m ʌ n i ɾ a
자믈	t͡ɕ a m ɯ l
자미	t͡ɕ a m i
자바	t͡ɕ a b a
자바삼킬	t͡ɕ a b a s a m kʰ i l
자바채지	t͡ɕ a b a t͡ɕʰ ɛ d͡ʑ i
자받따	t͡ɕ a b a t̚ t͈ a
자브며	t͡ɕ a b ɯ m j ʌ
자블	t͡ɕ a b ɯ l
자세를	t͡ɕ a s e ɾ ɯ l
자세히	t͡ɕ a s e h i
자시	t͡ɕ a s i
자시근	t͡ɕ a s i g ɯ n
자시글	t͡ɕ a s i g ɯ l
자시기	t͡ɕ a s i g i
자시긴	t͡ɕ a s i g i n
자시네게	t͡ɕ a s i n e g e
자시늘	t͡ɕ a s i n ɯ l
자시늬	t͡ɕ a s i n i
자시니	t͡ɕ a s i n i
자식뻘빠께	t͡ɕ a s i k̚ p͈ ʌ l p͈ a k͈ e
자신가미	t͡ɕ a s i n k a m i
자신감	t͡ɕ a s i n k a m
자신과	t͡ɕ a s i n k w a
자싱	t͡ɕ a s i ŋ
자양과	t͡ɕ a j a ŋ k w a
자에게	t͡ɕ a e g e
자에게는	t͡ɕ a e g e n ɯ n
자연스러운	t͡ɕ a j ʌ n s ɯ ɾ ʌ u n
자와	t͡ɕ a w a
자원도	t͡ɕ a w ʌ n t o
자유노동자의	t͡ɕ a j u n o d o ŋ t͡ɕ a ɰ i
자유로	t͡ɕ a j u ɾ o
자유를	t͡ɕ a j u ɾ ɯ l
자유이면	t͡ɕ a j u i m j ʌ n
자의	t͡ɕ a ɰ i
자의저그로	t͡ɕ a ɰ i d͡ʑ ʌ g ɯ ɾ o
자자젇따	t͡ɕ a d͡ʑ a t͡ɕ ʌ t̚ t͈ a
자존시미	t͡ɕ a d͡ʑ o n s i m i
자주	t͡ɕ a d͡ʑ u
자지를	t͡ɕ a d͡ʑ i ɾ ɯ l
자체다	t͡ɕ a t͡ɕʰ e d a
자태가	t͡ɕ a tʰ ɛ g a
자펻따	t͡ɕ a pʰ j ʌ t̚ t͈ a
자피지	t͡ɕ a pʰ i d͡ʑ i
자필	t͡ɕ a pʰ i l
작까	t͡ɕ a k̚ k͈ a
작쩡하엳따	t͡ɕ a k̚ t͡ɕ͈ ʌ ŋ h a j ʌ t̚ t͈ a
잔	t͡ɕ a n
잔기치믈	t͡ɕ a n k i t͡ɕʰ i m ɯ l
잔주름사를	t͡ɕ a n t͡ɕ u ɾ ɯ m s a ɾ ɯ l
잘	t͡ɕ a l
잘몯	t͡ɕ a l m o t̚
잘생겯따고	t͡ɕ a l s ɛ ŋ k j ʌ t̚ t͈ a g o
잘하는	t͡ɕ a l h a n ɯ n
잘하므로	t͡ɕ a l h a m ɯ ɾ o
잠	t͡ɕ a m
잠겨	t͡ɕ a m k j ʌ
잠긴	t͡ɕ a m k i n
잠깐	t͡ɕ a m k͈ a n
잠는	t͡ɕ a m n ɯ n
잠는다	t͡ɕ a m n ɯ n t a
잠드럳따가	t͡ɕ a m t ɯ ɾ ʌ t̚ t͈ a g a
잠시	t͡ɕ a m s i
잠시가니라도	t͡ɕ a m s i g a n i ɾ a d o
잠자코	t͡ɕ a m t͡ɕ a kʰ o
잡꼬	t͡ɕ a p̚ k͈ o
잡따믈	t͡ɕ a p̚ t͈ a m ɯ l
잡짜	t͡ɕ a p̚ t͡ɕ͈ a
잡찌장을	t͡ɕ a p̚ t͡ɕ͈ i d͡ʑ a ŋ ɯ l
장내	t͡ɕ a ŋ n ɛ
장녀네	t͡ɕ a ŋ n j ʌ n e
장년	t͡ɕ a ŋ n j ʌ n
장노와	t͡ɕ a ŋ n o w a
장다믈	t͡ɕ a ŋ t a m ɯ l
장며니	t͡ɕ a ŋ m j ʌ n i
장식뙤얻씀니다	t͡ɕ a ŋ s i k̚ t͈ w e ʌ t̚ s͈ ɯ m n i d a
장아늬	t͡ɕ a ŋ a n i
장위에	t͡ɕ a ŋ w i e
장이니	t͡ɕ a ŋ i n i
장인님	t͡ɕ a ŋ i n n i m
장판	t͡ɕ a ŋ pʰ a n
재래의	t͡ɕ ɛ ɾ ɛ ɰ i
재목	t͡ɕ ɛ m o k̚
재목꽁장에서는	t͡ɕ ɛ m o k̚ k͈ o ŋ t͡ɕ a ŋ e s ʌ n ɯ n
재미나게	t͡ɕ ɛ m i n a g e
재미난	t͡ɕ ɛ m i n a n
재미도	t͡ɕ ɛ m i d o
재미를	t͡ɕ ɛ m i ɾ ɯ l
재미인는	t͡ɕ ɛ m i i n n ɯ n
재벼칸	t͡ɕ ɛ b j ʌ kʰ a n
재사늘	t͡ɕ ɛ s a n ɯ l
재산가	t͡ɕ ɛ s a n k a
재산도	t͡ɕ ɛ s a n t o
재우첟따	t͡ɕ ɛ u t͡ɕʰ ʌ t̚ t͈ a
재차	t͡ɕ ɛ t͡ɕʰ a
재촉	t͡ɕ ɛ t͡ɕʰ o k̚
재파늬	t͡ɕ ɛ pʰ a n i
재판과는	t͡ɕ ɛ pʰ a n k w a n ɯ n
재판장	t͡ɕ ɛ pʰ a n t͡ɕ a ŋ
잳빼기를	t͡ɕ ɛ t̚ p͈ ɛ g i ɾ ɯ l
저	t͡ɕ ʌ
저거	t͡ɕ ʌ g ʌ
저거시	t͡ɕ ʌ g ʌ s i
저거질	t͡ɕ ʌ g ʌ d͡ʑ i l
저고리	t͡ɕ ʌ g o ɾ i
저고리는	t͡ɕ ʌ g o ɾ i n ɯ n
저기	t͡ɕ ʌ g i
저기요	t͡ɕ ʌ g i j o
저네	t͡ɕ ʌ n e
저네는	t͡ɕ ʌ n e n ɯ n
저녀게	t͡ɕ ʌ n j ʌ g e
저녀기	t͡ɕ ʌ n j ʌ g i
저녁	t͡ɕ ʌ n j ʌ k̚
저녁때에야	t͡ɕ ʌ n j ʌ k̚ t͈ ɛ e j a
저는	t͡ɕ ʌ n ɯ n
저도	t͡ɕ ʌ d o
저드른	t͡ɕ ʌ d ɯ ɾ ɯ n
저들과	t͡ɕ ʌ d ɯ l k w a
저러케	t͡ɕ ʌ ɾ ʌ kʰ e
저런	t͡ɕ ʌ ɾ ʌ n
저를	t͡ɕ ʌ ɾ ɯ l
저리	t͡ɕ ʌ ɾ i
저얻따	t͡ɕ ʌ ʌ t̚ t͈ a
저으면서	t͡ɕ ʌ ɯ m j ʌ n s ʌ
저의	t͡ɕ ʌ ɰ i
저작꿔는	t͡ɕ ʌ d͡ʑ a k̚ k͈ w ʌ n ɯ n
저절로	t͡ɕ ʌ d͡ʑ ʌ l l o
저주가	t͡ɕ ʌ d͡ʑ u g a
저지르리라	t͡ɕ ʌ d͡ʑ i ɾ ɯ l i ɾ a
저지하는	t͡ɕ ʌ d͡ʑ i h a n ɯ n
저쪼게	t͡ɕ ʌ t͡ɕ͈ o g e
저쪽	t͡ɕ ʌ t͡ɕ͈ o k̚
저펴네서	t͡ɕ ʌ pʰ j ʌ n e s ʌ
저히들끼리	t͡ɕ ʌ h i d ɯ l k͈ i ɾ i
적따	t͡ɕ ʌ k̚ t͈ a
적씨얻따	t͡ɕ ʌ k̚ s͈ i ʌ t̚ t͈ a
적쩌카미	t͡ɕ ʌ k̚ t͡ɕ͈ ʌ kʰ a m i
적찌	t͡ɕ ʌ k̚ t͡ɕ͈ i
전그니나	t͡ɕ ʌ n k ɯ n i n a
전긷뿌리	t͡ɕ ʌ n k i t̚ p͈ u ɾ i
전까지는	t͡ɕ ʌ n k͈ a d͡ʑ i n ɯ n
전날	t͡ɕ ʌ n n a l
전당	t͡ɕ ʌ n t a ŋ
전당에서	t͡ɕ ʌ n t a ŋ e s ʌ
전등뿌를	t͡ɕ ʌ n t ɯ ŋ p͈ u ɾ ɯ l
전등뿔비체	t͡ɕ ʌ n t ɯ ŋ p͈ u l p i t͡ɕʰ e
전등을	t͡ɕ ʌ n t ɯ ŋ ɯ l
전보를	t͡ɕ ʌ n p o ɾ ɯ l
전복꽈	t͡ɕ ʌ n p o k̚ k͈ w a
전부터	t͡ɕ ʌ n p u tʰ ʌ
전시네	t͡ɕ ʌ n s i n e
전시늘	t͡ɕ ʌ n s i n ɯ l
전시늬	t͡ɕ ʌ n s i n i
전시니	t͡ɕ ʌ n s i n i
전쟁할지니라	t͡ɕ ʌ n t͡ɕ ɛ ŋ h a l t͡ɕ i n i ɾ a
전제로서	t͡ɕ ʌ n t͡ɕ e ɾ o s ʌ
전짜리	t͡ɕ ʌ n t͡ɕ͈ a ɾ i
전차	t͡ɕ ʌ n t͡ɕʰ a
전차는	t͡ɕ ʌ n t͡ɕʰ a n ɯ n
전차를	t͡ɕ ʌ n t͡ɕʰ a ɾ ɯ l
전체	t͡ɕ ʌ n t͡ɕʰ e
전해	t͡ɕ ʌ n h ɛ
전해드리는	t͡ɕ ʌ n h ɛ d ɯ ɾ i n ɯ n
전후좌우로	t͡ɕ ʌ n h u d͡ʑ w a u ɾ o
젇까스믈	t͡ɕ ʌ t̚ k͈ a s ɯ m ɯ l
젇따	t͡ɕ ʌ t̚ t͈ a
절대	t͡ɕ ʌ l t ɛ
절대적	t͡ɕ ʌ l t ɛ d͡ʑ ʌ k̚
절믄	t͡ɕ ʌ l m ɯ n
절정에	t͡ɕ ʌ l t͡ɕ ʌ ŋ e
점	t͡ɕ ʌ m
점수나	t͡ɕ ʌ m s u n a
점수를	t͡ɕ ʌ m s u ɾ ɯ l
점심	t͡ɕ ʌ m s i m
점자는	t͡ɕ ʌ m t͡ɕ a n ɯ n
점점	t͡ɕ ʌ m t͡ɕ ʌ m
정거장	t͡ɕ ʌ ŋ k ʌ d͡ʑ a ŋ
정거장에서	t͡ɕ ʌ ŋ k ʌ d͡ʑ a ŋ e s ʌ
정겨를	t͡ɕ ʌ ŋ k j ʌ ɾ ɯ l
정그는	t͡ɕ ʌ ŋ k ɯ n ɯ n
정그니가	t͡ɕ ʌ ŋ k ɯ n i g a
정그니더러	t͡ɕ ʌ ŋ k ɯ n i d ʌ ɾ ʌ
정뉴장에는	t͡ɕ ʌ ŋ n j u d͡ʑ a ŋ e n ɯ n
정뉴장으로	t͡ɕ ʌ ŋ n j u d͡ʑ a ŋ ɯ ɾ o
정당	t͡ɕ ʌ ŋ t a ŋ
정당에	t͡ɕ ʌ ŋ t a ŋ e
정도만	t͡ɕ ʌ ŋ t o m a n
정도면	t͡ɕ ʌ ŋ t o m j ʌ n
정마글	t͡ɕ ʌ ŋ m a g ɯ l
정말	t͡ɕ ʌ ŋ m a l
정며느로	t͡ɕ ʌ ŋ m j ʌ n ɯ ɾ o
정미소에	t͡ɕ ʌ ŋ m i s o e
정반대로	t͡ɕ ʌ ŋ p a n t ɛ ɾ o
정보통시님니다	t͡ɕ ʌ ŋ p o tʰ o ŋ s i n i m n i d a
정부에	t͡ɕ ʌ ŋ p u e
정부의	t͡ɕ ʌ ŋ p u ɰ i
정성껃	t͡ɕ ʌ ŋ s ʌ ŋ k͈ ʌ t̚
정시늘	t͡ɕ ʌ ŋ s i n ɯ l
정시니	t͡ɕ ʌ ŋ s i n i
정은배	t͡ɕ ʌ ŋ ɯ n p ɛ
정이	t͡ɕ ʌ ŋ i
정적	t͡ɕ ʌ ŋ t͡ɕ ʌ k̚
정지되얻따	t͡ɕ ʌ ŋ t͡ɕ i d w e ʌ t̚ t͈ a
정지로	t͡ɕ ʌ ŋ t͡ɕ i ɾ o
정직	t͡ɕ ʌ ŋ t͡ɕ i k̚
정채게	t͡ɕ ʌ ŋ t͡ɕʰ ɛ g e
정치는	t͡ɕ ʌ ŋ t͡ɕʰ i n ɯ n
정치에	t͡ɕ ʌ ŋ t͡ɕʰ i e
정치이늬	t͡ɕ ʌ ŋ t͡ɕʰ i i n i
정치적	t͡ɕ ʌ ŋ t͡ɕʰ i d͡ʑ ʌ k̚
정하게	t͡ɕ ʌ ŋ h a g e
정하는	t͡ɕ ʌ ŋ h a n ɯ n
정하되	t͡ɕ ʌ ŋ h a d w e
정하엳따	t͡ɕ ʌ ŋ h a j ʌ t̚ t͈ a
정한다	t͡ɕ ʌ ŋ h a n t a
정화칸	t͡ɕ ʌ ŋ h w a kʰ a n
제	t͡ɕ e
제가	t͡ɕ e g a
제게	t͡ɕ e g e
제대로	t͡ɕ e d ɛ ɾ o
제도의	t͡ɕ e d o ɰ i
제범	t͡ɕ e b ʌ m
제법	t͡ɕ e b ʌ p̚
제안된다	t͡ɕ e a n t w e n t a
제어하지	t͡ɕ e ʌ h a d͡ʑ i
제일	t͡ɕ e i l
제일항의	t͡ɕ e i l h a ŋ ɰ i
제처노코	t͡ɕ e t͡ɕʰ ʌ n o kʰ o
제청에	t͡ɕ e t͡ɕʰ ʌ ŋ e
제출	t͡ɕ e t͡ɕʰ u l
제한바든	t͡ɕ e h a n p a d ɯ n
제한저그로	t͡ɕ e h a n t͡ɕ ʌ g ɯ ɾ o
조그만	t͡ɕ o g ɯ m a n
조그미라도	t͡ɕ o g ɯ m i ɾ a d o
조그판	t͡ɕ o g ɯ pʰ a n
조금	t͡ɕ o g ɯ m
조금도	t͡ɕ o g ɯ m t o
조금만	t͡ɕ o g ɯ m m a n
조기회워니	t͡ɕ o g i h w e w ʌ n i
조는	t͡ɕ o n ɯ n
조라부튼	t͡ɕ o ɾ a b u tʰ ɯ n
조러판	t͡ɕ o ɾ ʌ pʰ a n
조례의	t͡ɕ o ɾ j e ɰ i
조롱하는	t͡ɕ o ɾ o ŋ h a n ɯ n
조르드	t͡ɕ o ɾ ɯ d ɯ
조뱅이가	t͡ɕ o b ɛ ŋ i g a
조븐	t͡ɕ o b ɯ n
조사해	t͡ɕ o s a h ɛ
조서늘	t͡ɕ o s ʌ n ɯ l
조서늬	t͡ɕ o s ʌ n i
조선	t͡ɕ o s ʌ n
조소가	t͡ɕ o s o g a
조시믈	t͡ɕ o s i m ɯ l
조심해서	t͡ɕ o s i m h ɛ s ʌ
조아	t͡ɕ o a
조아하는	t͡ɕ o a h a n ɯ n
조아할	t͡ɕ o a h a l
조안는데	t͡ɕ o a n n ɯ n t e
조앋께써	t͡ɕ o a t̚ k͈ e s͈ ʌ
조앋따	t͡ɕ o a t̚ t͈ a
조앋떠라	t͡ɕ o a t̚ t͈ ʌ ɾ a
조용하게	t͡ɕ o j o ŋ h a g e
조으련만	t͡ɕ o ɯ ɾ j ʌ n m a n
조은	t͡ɕ o ɯ n
조을	t͡ɕ o ɯ l
조을까	t͡ɕ o ɯ l k͈ a
조을른지	t͡ɕ o ɯ l l ɯ n t͡ɕ i
조지게	t͡ɕ o d͡ʑ i g e
조직꽈	t͡ɕ o d͡ʑ i k̚ k͈ w a
조직뙨다	t͡ɕ o d͡ʑ i k̚ t͈ w e n t a
조치	t͡ɕ o t͡ɕʰ i
조타	t͡ɕ o tʰ a
조터니만	t͡ɕ o tʰ ʌ n i m a n
졸린	t͡ɕ o l l i n
좀	t͡ɕ o m
좀더	t͡ɕ o m t ʌ
좁따란	t͡ɕ o p̚ t͈ a ɾ a n
좁쌀	t͡ɕ o p̚ s͈ a l
종교와	t͡ɕ o ŋ k j o w a
종내와는	t͡ɕ o ŋ n ɛ w a n ɯ n
종노는	t͡ɕ o ŋ n o n ɯ n
종노로	t͡ɕ o ŋ n o ɾ o
종소리만	t͡ɕ o ŋ s o ɾ i m a n
종시	t͡ɕ o ŋ s i
종을	t͡ɕ o ŋ ɯ l
종이	t͡ɕ o ŋ i
종읻쪼가글	t͡ɕ o ŋ i t̚ t͡ɕ͈ o g a k ɯ l
종읻쪼각꽈	t͡ɕ o ŋ i t̚ t͡ɕ͈ o g a k̚ k͈ w a
종일	t͡ɕ o ŋ i l
종종	t͡ɕ o ŋ t͡ɕ o ŋ
좌우간	t͡ɕ w a u g a n
죄는	t͡ɕ w e n ɯ n
죄를	t͡ɕ w e ɾ ɯ l
죄송해요	t͡ɕ w e s o ŋ h ɛ j o
죄아글	t͡ɕ w e a g ɯ l
죄어드럳따	t͡ɕ w e ʌ d ɯ ɾ ʌ t̚ t͈ a
주거늘	t͡ɕ u g ʌ n ɯ l
주거도	t͡ɕ u g ʌ d o
주거써	t͡ɕ u g ʌ s͈ ʌ
주거쓰면	t͡ɕ u g ʌ s͈ ɯ m j ʌ n
주건나	t͡ɕ u g ʌ n n a
주걷따	t͡ɕ u g ʌ t̚ t͈ a
주걷따네	t͡ɕ u g ʌ t̚ t͈ a n e
주고	t͡ɕ u g o
주관하고	t͡ɕ u g w a n h a g o
주그므로써	t͡ɕ u g ɯ m ɯ ɾ o s͈ ʌ
주그믜	t͡ɕ u g ɯ m i
주근	t͡ɕ u g ɯ n
주글	t͡ɕ u g ɯ l
주기	t͡ɕ u g i
주기얻따	t͡ɕ u g i ʌ t̚ t͈ a
주기지	t͡ɕ u g i d͡ʑ i
주께	t͡ɕ u k͈ e
주는	t͡ɕ u n ɯ n
주는드	t͡ɕ u n ɯ n t ɯ
주니라	t͡ɕ u n i ɾ a
주던	t͡ɕ u d ʌ n
주루루	t͡ɕ u ɾ u l u
주룩쭈룩	t͡ɕ u ɾ u k̚ t͡ɕ͈ u ɾ u k̚
주름까지	t͡ɕ u ɾ ɯ m k͈ a d͡ʑ i
주름사를	t͡ɕ u ɾ ɯ m s a ɾ ɯ l
주림	t͡ɕ u ɾ i m
주머그로	t͡ɕ u m ʌ g ɯ ɾ o
주머니	t͡ɕ u m ʌ n i
주면서도	t͡ɕ u m j ʌ n s ʌ d o
주모글	t͡ɕ u m o g ɯ l
주문하려고	t͡ɕ u m u n h a ɾ j ʌ g o
주문하실	t͡ɕ u m u n h a s i l
주므로	t͡ɕ u m ɯ ɾ o
주민드리	t͡ɕ u m i n t ɯ ɾ i
주발	t͡ɕ u b a l
주부여글	t͡ɕ u b u j ʌ g ɯ l
주사	t͡ɕ u s a
주세요	t͡ɕ u s e j o
주셔서	t͡ɕ u s j ʌ s ʌ
주셔요	t͡ɕ u s j ʌ j o
주소가	t͡ɕ u s o g a
주시고	t͡ɕ u s i g o
주시기	t͡ɕ u s i g i
주시며	t͡ɕ u s i m j ʌ
주시오	t͡ɕ u s i o
주시옵쏘서	t͡ɕ u s i o p̚ s͈ o s ʌ
주십씨오	t͡ɕ u s i p̚ s͈ i o
주암동	t͡ɕ u a m t o ŋ
주야하글	t͡ɕ u j a h a g ɯ l
주어	t͡ɕ u ʌ
주어쓰면	t͡ɕ u ʌ s͈ ɯ m j ʌ n
주얻따	t͡ɕ u ʌ t̚ t͈ a
주얻딴	t͡ɕ u ʌ t̚ t͈ a n
주얻씀니다	t͡ɕ u ʌ t̚ s͈ ɯ m n i d a
주에	t͡ɕ u e
주워	t͡ɕ u w ʌ
주위로	t͡ɕ u w i ɾ o
주의하는	t͡ɕ u ɰ i h a n ɯ n
주의하라	t͡ɕ u ɰ i h a ɾ a
주의해	t͡ɕ u ɰ i h ɛ
주이는	t͡ɕ u i n ɯ n
주이니	t͡ɕ u i n i
주이니얻따	t͡ɕ u i n i ʌ t̚ t͈ a
주인드른	t͡ɕ u i n t ɯ ɾ ɯ n
주장을	t͡ɕ u d͡ʑ a ŋ ɯ l
주장하는	t͡ɕ u d͡ʑ a ŋ h a n ɯ n
주저안꼬	t͡ɕ u d͡ʑ ʌ a n k͈ o
주저안치는	t͡ɕ u d͡ʑ ʌ a n t͡ɕʰ i n ɯ n
주저하다가	t͡ɕ u d͡ʑ ʌ h a d a g a
주저하엳따	t͡ɕ u d͡ʑ ʌ h a j ʌ t̚ t͈ a
주전자	t͡ɕ u d͡ʑ ʌ n t͡ɕ a
주춤	t͡ɕ u t͡ɕʰ u m
주화조로서	t͡ɕ u h w a d͡ʑ o ɾ o s ʌ
주황무를	t͡ɕ u h w a ŋ m u ɾ ɯ l
죽께된	t͡ɕ u k̚ k͈ e d w e n
죽껟씀니다	t͡ɕ u k̚ k͈ e t̚ s͈ ɯ m n i d a
죽끼	t͡ɕ u k̚ k͈ i
죽따	t͡ɕ u k̚ t͈ a
죽찌	t͡ɕ u k̚ t͡ɕ͈ i
준	t͡ɕ u n
준다	t͡ɕ u n t a
준비하여	t͡ɕ u n p i h a j ʌ
줄	t͡ɕ u l
줄도	t͡ɕ u l t o
줄로만	t͡ɕ u l l o m a n
줄자바도	t͡ɕ u l t͡ɕ a b a d o
줄지어다	t͡ɕ u l t͡ɕ i ʌ d a
중	t͡ɕ u ŋ
중구게	t͡ɕ u ŋ k u g e
중는	t͡ɕ u ŋ n ɯ n
중단되얻씀니다	t͡ɕ u ŋ t a n t w e ʌ t̚ s͈ ɯ m n i d a
중도에	t͡ɕ u ŋ t o e
중소기어블	t͡ɕ u ŋ s o g i ʌ b ɯ l
중얼거리고	t͡ɕ u ŋ ʌ l k ʌ ɾ i g o
중얼거리며	t͡ɕ u ŋ ʌ l k ʌ ɾ i m j ʌ
중얼거리면서	t͡ɕ u ŋ ʌ l k ʌ ɾ i m j ʌ n s ʌ
중얼중얼	t͡ɕ u ŋ ʌ l t͡ɕ u ŋ ʌ l
중에	t͡ɕ u ŋ e
중에서	t͡ɕ u ŋ e s ʌ
중이다	t͡ɕ u ŋ i d a
중절모를	t͡ɕ u ŋ t͡ɕ ʌ l m o ɾ ɯ l
중지하지	t͡ɕ u ŋ t͡ɕ i h a d͡ʑ i
중하글	t͡ɕ u ŋ h a g ɯ l
줘야	t͡ɕ w ʌ j a
쥐가	t͡ɕ w i g a
쥐어	t͡ɕ w i ʌ
쥐얻따	t͡ɕ w i ʌ t̚ t͈ a
쥔	t͡ɕ w i n
즉	t͡ɕ ɯ k̚
즉씨	t͡ɕ ɯ k̚ s͈ i
즐거우나	t͡ɕ ɯ l k ʌ u n a
즐거운	t͡ɕ ɯ l k ʌ u n
즐거워하지	t͡ɕ ɯ l k ʌ w ʌ h a d͡ʑ i
즐겁꼬	t͡ɕ ɯ l k ʌ p̚ k͈ o
즐기자	t͡ɕ ɯ l k i d͡ʑ a
증거다	t͡ɕ ɯ ŋ k ʌ d a
증육또화혀늘	t͡ɕ ɯ ŋ j u k̚ t͈ o h w a h j ʌ n ɯ l
지가	t͡ɕ i g a
지갑	t͡ɕ i g a p̚
지게를	t͡ɕ i g e ɾ ɯ l
지경을	t͡ɕ i g j ʌ ŋ ɯ l
지고	t͡ɕ i g o
지그믄	t͡ɕ i g ɯ m ɯ n
지그미나	t͡ɕ i g ɯ m i n a
지글	t͡ɕ i g ɯ l
지금	t͡ɕ i g ɯ m
지꺼릴수는	t͡ɕ i k͈ ʌ ɾ i l s u n ɯ n
지나	t͡ɕ i n a
지나가는	t͡ɕ i n a g a n ɯ n
지나간	t͡ɕ i n a g a n
지나간다	t͡ɕ i n a g a n t a
지나갇따	t͡ɕ i n a g a t̚ t͈ a
지나다가	t͡ɕ i n a d a g a
지나만	t͡ɕ i n a m a n
지나처	t͡ɕ i n a t͡ɕʰ ʌ
지나첟따	t͡ɕ i n a t͡ɕʰ ʌ t̚ t͈ a
지나치는	t͡ɕ i n a t͡ɕʰ i n ɯ n
지나친	t͡ɕ i n a t͡ɕʰ i n
지나친다	t͡ɕ i n a t͡ɕʰ i n t a
지나칠	t͡ɕ i n a t͡ɕʰ i l
지난	t͡ɕ i n a n
지낟씀니다	t͡ɕ i n a t̚ s͈ ɯ m n i d a
지내	t͡ɕ i n ɛ
지낸	t͡ɕ i n ɛ n
지낻	t͡ɕ i n ɛ t̚
지도록	t͡ɕ i d o ɾ o k̚
지도칸	t͡ɕ i d o kʰ a n
지랄병을	t͡ɕ i ɾ a l p j ʌ ŋ ɯ l
지루하던	t͡ɕ i ɾ u h a d ʌ n
지르며	t͡ɕ i ɾ ɯ m j ʌ
지른다	t͡ɕ i ɾ ɯ n t a
지믄	t͡ɕ i m ɯ n
지바네	t͡ɕ i b a n e
지바는	t͡ɕ i b a n ɯ n
지반	t͡ɕ i b a n
지방	t͡ɕ i b a ŋ
지배하는	t͡ɕ i b ɛ h a n ɯ n
지버	t͡ɕ i b ʌ
지버너코	t͡ɕ i b ʌ n ʌ kʰ o
지베	t͡ɕ i b e
지베서	t͡ɕ i b e s ʌ
지브로	t͡ɕ i b ɯ ɾ o
지블	t͡ɕ i b ɯ l
지븨	t͡ɕ i b i
지비	t͡ɕ i b i
지수	t͡ɕ i s u
지슬	t͡ɕ i s ɯ l
지시그로	t͡ɕ i s i g ɯ ɾ o
지시글	t͡ɕ i s i g ɯ l
지시긔	t͡ɕ i s i g i
지시를	t͡ɕ i s i ɾ ɯ l
지식꽈	t͡ɕ i s i k̚ k͈ w a
지아비는	t͡ɕ i a b i n ɯ n
지역	t͡ɕ i j ʌ k̚
지웓따	t͡ɕ i w ʌ t̚ t͈ a
지으려고	t͡ɕ i ɯ ɾ j ʌ g o
지으면	t͡ɕ i ɯ m j ʌ n
지으시던	t͡ɕ i ɯ s i d ʌ n
지으신	t͡ɕ i ɯ s i n
지은	t͡ɕ i ɯ n
지을	t͡ɕ i ɯ l
지추른	t͡ɕ i t͡ɕʰ u ɾ ɯ n
지켜	t͡ɕ i kʰ j ʌ
지키게	t͡ɕ i kʰ i g e
지키고	t͡ɕ i kʰ i g o
지키는	t͡ɕ i kʰ i n ɯ n
지키자	t͡ɕ i kʰ i d͡ʑ a
지팽이를	t͡ɕ i pʰ ɛ ŋ i ɾ ɯ l
지퍼	t͡ɕ i pʰ ʌ
지프시고도	t͡ɕ i pʰ ɯ s i g o d o
지플	t͡ɕ i pʰ ɯ l
지하에	t͡ɕ i h a e
지향	t͡ɕ i h j a ŋ
지혜로운	t͡ɕ i h j e ɾ o u n
지혜롭께	t͡ɕ i h j e ɾ o p̚ k͈ e
지혜를	t͡ɕ i h j e ɾ ɯ l
직깍	t͡ɕ i k̚ k͈ a k̚
직깜저그로	t͡ɕ i k̚ k͈ a m t͡ɕ ʌ g ɯ ɾ o
직꽁과	t͡ɕ i k̚ k͈ o ŋ k w a
직꽁이	t͡ɕ i k̚ k͈ o ŋ i
직뿌니	t͡ɕ i k̚ p͈ u n i
