аа	aː
хүний	x u n iː
хүнийг	x u n iː ɡ
хүнийх	x u n iː x
хүнийхээ	x u n iː x ɛː
хүннү	x u n n u
хүннүтэй	x u n n u tʰ ɛ j
хүнс	x u n s
хүнсний	x u n s n iː
хүнстэй	x u n s tʰ ɛ j
хүнтэй	x u n tʰ ɛ j
хүнтэйгээ	x u n tʰ ɛ j ɡ ɛː
хүнээ	x u n ɛː
хүнээр	x u n ɛː r
хүнээс	x u n ɛː s
хүнээсээ	x u n ɛː s ɛː
хүр	x u r
хүрвэл	x u r w ɛ ɮ
хүргэв	x u r ɡ ɛ w
хүргэдэг	x u r ɡ ɛ t ɛ ɡ
хүргэе	x u r ɡ ɛ j
хүргэж	x u r ɡ ɛ t͡ʃ
хүргэжээ	x u r ɡ ɛ t͡ʃ ɛː
хүргэн	x u r ɡ ɛ n
хүргэндээ	x u r ɡ ɛ n t ɛː
хүргэснээс	x u r ɡ ɛ s n ɛː s
хүргэх	x u r ɡ ɛ x
хүргэхийг	x u r ɡ ɛ x iː ɡ
хүргэхээр	x u r ɡ ɛ x ɛː r
хүргээд	x u r ɡ ɛː t
хүргүүлсэн	x u r ɡ uː ɮ s ɛ n
хүргүүлэх	x u r ɡ uː ɮ ɛ x
хүрд	x u r t
хүрдний	x u r t n iː
хүрдэг	x u r t ɛ ɡ
хүрдэн	x u r t ɛ n
хүрз	x u r t͡s
хүрлийн	x u r ɮ iː n
хүрлээ	x u r ɮ ɛː
хүрлээр	x u r ɮ ɛː r
хүрнэ	x u r n ɛ
хүрснийг	x u r s n iː ɡ
хүрсэн	x u r s ɛ n
хүрсэнгүй	x u r s ɛ n ɡ u j
хүртвэл	x u r tʰ w ɛ ɮ
хүртдэг	x u r tʰ t ɛ ɡ
хүртсэн	x u r tʰ s ɛ n
хүртэж	x u r tʰ ɛ t͡ʃ
хүртэл	x u r tʰ ɛ ɮ
хүртэлх	x u r tʰ ɛ ɮ x
хүртээлтэй	x u r tʰ ɛː ɮ tʰ ɛ j
хүрч	x u r t͡ʃʰ
хүрчээ	x u r t͡ʃʰ ɛː
хүрье	x u rʲ j i
хүрэв	x u r ɛ w
хүрэлгүй	x u r ɛ ɮ ɡ u j
хүрэлцэхгүй	x u r ɛ ɮ t͡sʰ ɛ x ɡ u j
хүрэлцэхүйц	x u r ɛ ɮ t͡sʰ ɛ x u j t͡sʰ
хүрэн	x u r ɛ n
хүрэх	x u r ɛ x
хүрэхгүй	x u r ɛ x ɡ u j
хүрэхийг	x u r ɛ x iː ɡ
хүрэхийн	x u r ɛ x iː n
хүрэхээр	x u r ɛ x ɛː r
хүрэхээс	x u r ɛ x ɛː s
хүрээ	x u r ɛː
хүрээг	x u r ɛː ɡ
хүрээгээрээ	x u r ɛː ɡ ɛː r ɛː
хүрээгүй	x u r ɛː ɡ u j
хүрээд	x u r ɛː t
хүрээлэгдсэн	x u r ɛː ɮ ɛ ɡ t s ɛ n
хүрээлэгдэнэ	x u r ɛː ɮ ɛ ɡ t ɛ n ɛ
хүрээлэн	x u r ɛː ɮ ɛ n
хүрээлэнгийнхний	x u r ɛː ɮ ɛ n ɡ iː n x n iː
хүрээлэнгийнхээ	x u r ɛː ɮ ɛ n ɡ iː n x ɛː
хүрээлэнгүүд	x u r ɛː ɮ ɛ n ɡ uː t
хүрээнд	x u r ɛː n t
хүрээнээс	x u r ɛː n ɛː s
хүрээсэй	x u r ɛː s ɛ j
хүрээтэй	x u r ɛː tʰ ɛ j
хүс	x u s
хүсвэл	x u s w ɛ ɮ
хүсдэг	x u s t ɛ ɡ
хүсдэггүй	x u s t ɛ ɡ ɡ u j
хүслийг	x u s ɮ iː ɡ
хүслээ	x u s ɮ ɛː
хүснэ	x u s n ɛ
хүснэгтийг	x u s n ɛ ɡ tʰ iː ɡ
хүссэн	x u s s ɛ n
хүссэнгүй	x u s s ɛ n ɡ u j
хүсье	x u sʲ j i
хүсэв	x u s ɛ w
хүсэж	x u s ɛ t͡ʃ
хүсэл	x u s ɛ ɮ
хүсэлгүй	x u s ɛ ɮ ɡ u j
хүсэлд	x u s ɛ ɮ t
хүсэлт	x u s ɛ ɮ tʰ
хүсэлтийн	x u s ɛ ɮ tʰ iː n
хүсэлтэй	x u s ɛ ɮ tʰ ɛ j
хүсэмжлэн	x u s ɛ m t͡ʃ ɮ ɛ n
хүсэн	x u s ɛ n
хүсэх	x u s ɛ x
хүсэхгүй	x u s ɛ x ɡ u j
хүсээгүй	x u s ɛː ɡ u j
хүсээд	x u s ɛː t
хүхэржүүлж	x u x ɛ r t͡ʃ uː ɮ t͡ʃ
хүч	x u t͡ʃʰ
хүчдэл	x u t͡ʃʰ t ɛ ɮ
хүчдэн	x u t͡ʃʰ t ɛ n
хүчийг	x u t͡ʃʰ iː ɡ
хүчилснээр	x u t͡ʃʰ i ɮ s n ɛː r
хүчилтөрөгч	x u t͡ʃʰ i ɮ tʰ o r o ɡ t͡ʃʰ
хүчилтөрөгчийн	x u t͡ʃʰ i ɮ tʰ o r o ɡ t͡ʃʰ iː n
хүчин	x u t͡ʃʰ i n
хүчинд	x u t͡ʃʰ i n t
хүчинтэй	x u t͡ʃʰ i n tʰ ɛ j
хүчирхэг	x u t͡ʃʰ i r x ɛ ɡ
хүчирхэгжиж	x u t͡ʃʰ i r x ɛ ɡ t͡ʃ i t͡ʃ
хүчит	x u t͡ʃʰ i tʰ
хүчлэн	x u t͡ʃʰ ɮ ɛ n
хүчний	x u t͡ʃʰ n iː
хүчнийг	x u t͡ʃʰ n iː ɡ
хүчнийхэн	x u t͡ʃʰ n iː x ɛ n
хүчнээс	x u t͡ʃʰ n ɛː s
хүчрэхгүй	x u t͡ʃʰ r ɛ x ɡ u j
хүчтэй	x u t͡ʃʰ tʰ ɛ j
хүчтэйгээр	x u t͡ʃʰ tʰ ɛ j ɡ ɛː r
хүчтэнүүдэд	x u t͡ʃʰ tʰ ɛ n uː t ɛ t
хүчээ	x u t͡ʃʰ ɛː
хүчээр	x u t͡ʃʰ ɛː r
хүү	x uː
хүүг	x uː ɡ
хүүгийн	x uː ɡ iː n
хүүгийнхээ	x uː ɡ iː n x ɛː
хүүгээ	x uː ɡ ɛː
хүүгээр	x uː ɡ ɛː r
хүүгээс	x uː ɡ ɛː s
хүүгээсээ	x uː ɡ ɛː s ɛː
хүүд	x uː t
хүүдээ	x uː t ɛː
хүүр	x uː r
хүүрнэж	x uː r n ɛ t͡ʃ
хүүрнэлийг	x uː r n ɛ ɮ iː ɡ
хүүрэг	x uː r ɛ ɡ
хүүрүүдийн	x uː r uː t iː n
хүүтэй	x uː tʰ ɛ j
хүүтэйгээ	x uː tʰ ɛ j ɡ ɛː
хүүхдийг	x uː x t iː ɡ
хүүхдийн	x uː x t iː n
хүүхдийнх	x uː x t iː n x
хүүхдийнхээ	x uː x t iː n x ɛː
хүүхдэд	x uː x t ɛ t
хүүхдээ	x uː x t ɛː
хүүхдээрээ	x uː x t ɛː r ɛː
хүүхдээс	x uː x t ɛː s
хүүхдүүд	x uː x t uː t
хүүхдүүддээ	x uː x t uː t t ɛː
хүүхдүүдийг	x uː x t uː t iː ɡ
хүүхдүүдийн	x uː x t uː t iː n
хүүхдүүдийнх	x uː x t uː t iː n x
хүүхдүүдийнхээ	x uː x t uː t iː n x ɛː
хүүхдүүдтэйгээ	x uː x t uː t tʰ ɛ j ɡ ɛː
хүүхдүүдэд	x uː x t uː t ɛ t
хүүхдүүдээ	x uː x t uː t ɛː
хүүхдүүдээс	x uː x t uː t ɛː s
хүүхний	x uː x n iː
хүүхнийг	x uː x n iː ɡ
хүүхнийх	x uː x n iː x
хүүхнээс	x uː x n ɛː s
хүүхнүүд	x uː x n uː t
хүүхнүүдийг	x uː x n uː t iː ɡ
хүүхнүүдийн	x uː x n uː t iː n
хүүхнүүдийнх	x uː x n uː t iː n x
хүүхэд	x uː x ɛ t
хүүхэдтэй	x uː x ɛ t tʰ ɛ j
хүүхэдтэйгээ	x uː x ɛ t tʰ ɛ j ɡ ɛː
хүүхэлдэй	x uː x ɛ ɮ t ɛ j
хүүхэлдэйг	x uː x ɛ ɮ t ɛ j ɡ
хүүхэлдэйгээ	x uː x ɛ ɮ t ɛ j ɡ ɛː
хүүхэлдэйн	x uː x ɛ ɮ t ɛ j n
хүүхэлдэйнүүдийг	x uː x ɛ ɮ t ɛ j n uː t iː ɡ
хүүхэн	x uː x ɛ n
хүүхэнд	x uː x ɛ n t
хүүхэнтэй	x uː x ɛ n tʰ ɛ j
хө	x o
хөвгүүдийг	x o w ɡ uː t iː ɡ
хөвгүүдийн	x o w ɡ uː t iː n
хөвгүүн	x o w ɡ uː n
хөвд	x o w t
хөвдөн	x o w t o n
хөвж	x o w t͡ʃ
хөврөл	x o w r o ɮ
хөврөлүүд	x o w r o ɮ uː t
хөврөн	x o w r o n
хөвсгөл	x o w s ɡ o ɮ
хөвсөлзөөд	x o w s o ɮ t͡s oː t
хөвчилж	x o w t͡ʃʰ i ɮ t͡ʃ
хөвүүн	x o w uː n
хөвүүнийг	x o w uː n iː ɡ
хөвөлзсөн	x o w o ɮ t͡s s o n
хөвөн	x o w o n
хөвөнгөөр	x o w o n ɡ oː r
хөвөх	x o w o x
хөгждөг	x o ɡ t͡ʃ t o ɡ
хөгжиж	x o ɡ t͡ʃ i t͡ʃ
хөгжил	x o ɡ t͡ʃ i ɮ
хөгжилдөн	x o ɡ t͡ʃ i ɮ t o n
хөгжилтэй	x o ɡ t͡ʃ i ɮ tʰ ɛ j
хөгжим	x o ɡ t͡ʃ i m
хөгжимд	x o ɡ t͡ʃ i m t
хөгжимтэйгөөр	x o ɡ t͡ʃ i m tʰ ɛ j ɡ oː r
хөгжих	x o ɡ t͡ʃ i x
хөгжихийн	x o ɡ t͡ʃ i x iː n
хөгжлийг	x o ɡ t͡ʃ ɮ iː ɡ
хөгжлийн	x o ɡ t͡ʃ ɮ iː n
хөгжмийг	x o ɡ t͡ʃ m iː ɡ
хөгжмийн	x o ɡ t͡ʃ m iː n
хөгжмөө	x o ɡ t͡ʃ m oː
хөгжсөн	x o ɡ t͡ʃ s o n
хөгжүүлжээ	x o ɡ t͡ʃ uː ɮ t͡ʃ ɛː
хөгжүүлнэ	x o ɡ t͡ʃ uː ɮ n ɛ
хөгжүүлсэн	x o ɡ t͡ʃ uː ɮ s ɛ n
хөгжүүлсээр	x o ɡ t͡ʃ uː ɮ s ɛː r
хөгжүүлэлтүүд	x o ɡ t͡ʃ uː ɮ ɛ ɮ tʰ uː t
хөгжүүлэн	x o ɡ t͡ʃ uː ɮ ɛ n
хөгжүүлэх	x o ɡ t͡ʃ uː ɮ ɛ x
хөгжүүлэхээр	x o ɡ t͡ʃ uː ɮ ɛ x ɛː r
хөгжөөд	x o ɡ t͡ʃ oː t
хөгжөөн	x o ɡ t͡ʃ oː n
хөгжөөнтэйгөөр	x o ɡ t͡ʃ oː n tʰ ɛ j ɡ oː r
хөгжөөх	x o ɡ t͡ʃ oː x
хөглөж	x o ɡ ɮ o t͡ʃ
хөглөснөө	x o ɡ ɮ o s n oː
хөгшид	x o ɡ ʃ i t
хөгшин	x o ɡ ʃ i n
хөгшнийг	x o ɡ ʃ n iː ɡ
хөгшнийх	x o ɡ ʃ n iː x
хөгшрөлтөд	x o ɡ ʃ r o ɮ tʰ o t
хөгшрөх	x o ɡ ʃ r o x
хөгшрөөд	x o ɡ ʃ r oː t
хөгшчүүд	x o ɡ ʃ t͡ʃʰ uː t
хөгшчүүл	x o ɡ ʃ t͡ʃʰ uː ɮ
хөгшчүүлд	x o ɡ ʃ t͡ʃʰ uː ɮ t
хөдлөв	x o t ɮ o w
хөдлөлгүй	x o t ɮ o ɮ ɡ u j
хөдлөлд	x o t ɮ o ɮ t
хөдлөлийн	x o t ɮ o ɮ iː n
хөдлөн	x o t ɮ o n
хөдлөх	x o t ɮ o x
хөдлөхгүй	x o t ɮ o x ɡ u j
хөдлөхийг	x o t ɮ o x iː ɡ
хөдлөөд	x o t ɮ oː t
хөдөл	x o t o ɮ
хөдөлгүүр	x o t o ɮ ɡ uː r
хөдөлгүүрийг	x o t o ɮ ɡ uː r iː ɡ
хөдөлгүүрийн	x o t o ɮ ɡ uː r iː n
хөдөлгүүрт	x o t o ɮ ɡ uː r tʰ
хөдөлгөж	x o t o ɮ ɡ o t͡ʃ
хөдөлгөлгүй	x o t o ɮ ɡ o ɮ ɡ u j
хөдөлгөсөнгүй	x o t o ɮ ɡ o s o n ɡ u j
хөдөлгөхөд	x o t o ɮ ɡ o x o t
хөдөлгөөн	x o t o ɮ ɡ oː n
хөдөлгөөнгүй	x o t o ɮ ɡ oː n ɡ u j
хөдөлгөөнд	x o t o ɮ ɡ oː n t
хөдөлгөөний	x o t o ɮ ɡ oː n iː
хөдөлгөөнийг	x o t o ɮ ɡ oː n iː ɡ
хөдөлгөөнөөс	x o t o ɮ ɡ oː n oː s
хөдөлдөг	x o t o ɮ t o ɡ
хөдөлж	x o t o ɮ t͡ʃ
хөдөллөө	x o t o ɮ ɮ oː
хөдөлмөр	x o t o ɮ m o r
хөдөлмөрийн	x o t o ɮ m o r iː n
хөдөлмөрлөж	x o t o ɮ m o r ɮ o t͡ʃ
хөдөлмөрч	x o t o ɮ m o r t͡ʃʰ
хөдөлмөрөө	x o t o ɮ m o r oː
хөдөлсөн	x o t o ɮ s o n
хөдөлсөнгүй	x o t o ɮ s o n ɡ u j
хөдөлсөөр	x o t o ɮ s oː r
хөдөө	x o t oː
хөдөөгийн	x o t oː ɡ iː n
хөдөөд	x o t oː t
хөдөөний	x o t oː n iː
хөдөөнөөс	x o t oː n oː s
хөеөгөө	x o j o ɡ oː
хөзөр	x o t͡s o r
хөл	x o ɮ
хөлбөмбөгийн	x o ɮ p o m p o ɡ iː n
хөлгийг	x o ɮ ɡ iː ɡ
хөлгийн	x o ɮ ɡ iː n
хөлгөний	x o ɮ ɡ o n iː
хөлд	x o ɮ t
хөлдсөн	x o ɮ t s o n
хөлдөөсөн	x o ɮ t oː s o n
хөлжсөн	x o ɮ t͡ʃ s o n
хөлийг	x o ɮ iː ɡ
хөлийн	x o ɮ iː n
хөлийнхөө	x o ɮ iː n x oː
хөллөж	x o ɮ ɮ o t͡ʃ
хөллөжээ	x o ɮ ɮ o t͡ʃ ɛː
хөллөсөн	x o ɮ ɮ o s o n
хөлс	x o ɮ s
хөлсгүй	x o ɮ s ɡ u j
хөлсний	x o ɮ s n iː
хөлсөлж	x o ɮ s o ɮ t͡ʃ
хөлсөө	x o ɮ s oː
хөлт	x o ɮ tʰ
хөлтийн	x o ɮ tʰ iː n
хөлтэй	x o ɮ tʰ ɛ j
хөлөг	x o ɮ o ɡ
хөлөгтэй	x o ɮ o ɡ tʰ ɛ j
хөлөө	x o ɮ oː
хөлөөрөө	x o ɮ oː r oː
хөмрөг	x o m r o ɡ
хөмрөгийн	x o m r o ɡ iː n
хөмрөгт	x o m r o ɡ tʰ
хөмсгөө	x o m s ɡ oː
хөмсөг	x o m s o ɡ
хөнгөлөлттэй	x o n ɡ o ɮ o ɮ tʰtʰ ɛ j
хөнгөлөлтөөр	x o n ɡ o ɮ o ɮ tʰ oː r
хөнгөн	x o n ɡ o n
хөнгөнөөс	x o n ɡ o n oː s
хөнджээ	x o n t t͡ʃ ɛː
хөндий	x o n t iː
хөндийг	x o n t iː ɡ
хөндийд	x o n t iː t
хөндийн	x o n t iː n
хөндийрдөг	x o n t iː r t o ɡ
хөндийрч	x o n t iː r t͡ʃʰ
хөндийрөх	x o n t iː r o x
хөндийхөн	x o n t iː x o n
хөндлөвчийн	x o n t ɮ o w t͡ʃʰ iː n
хөндлөн	x o n t ɮ o n
хөндлөнгийн	x o n t ɮ o n ɡ iː n
хөндлөнгөөс	x o n t ɮ o n ɡ oː s
хөндсөн	x o n t s o n
хөндүүлэх	x o n t uː ɮ ɛ x
хөндүүрлэсэндээ	x o n t uː r ɮ ɛ s ɛ n t ɛː
хөндөвчийн	x o n t o w t͡ʃʰ iː n
хөндөж	x o n t o t͡ʃ
хөндөлдсөн	x o n t o ɮ t s o n
хөндөлсөн	x o n t o ɮ s o n
хөндөхгүй	x o n t o x ɡ u j
хөнтөрчих	x o n tʰ o r t͡ʃʰ i x
хөнөөл	x o n oː ɮ
хөнөөлт	x o n oː ɮ tʰ
хөнөөн	x o n oː n
хөнөөхөөр	x o n oː x oː r
хөрвөсөөр	x o r w o s oː r
хөрс	x o r s
хөрсийг	x o r s iː ɡ
хөрснөөсөө	x o r s n oː s oː
хөрсөнд	x o r s o n t
хөрч	x o r t͡ʃʰ
хөрш	x o r ʃ
хөршүүд	x o r ʃ uː t
хөршүүдийн	x o r ʃ uː t iː n
хөрөг	x o r o ɡ
хөрөгийг	x o r o ɡ iː ɡ
хөрөнгийг	x o r o n ɡ iː ɡ
хөрөнгийн	x o r o n ɡ iː n
хөрөнгө	x o r o n ɡ o
хөрөнгөд	x o r o n ɡ o t
хөрөнгөөрөө	x o r o n ɡ oː r oː
хөрөөднө	x o r oː t n o
хөсөрдүүлсэнд	x o s o r t uː ɮ s ɛ n t
хөтлөгч	x o tʰ ɮ o ɡ t͡ʃʰ
хөтлөлцсөөр	x o tʰ ɮ o ɮ t͡sʰ s oː r
хөтлөх	x o tʰ ɮ o x
хөтлөхөд	x o tʰ ɮ o x o t
хөтчийн	x o tʰ t͡ʃʰ iː n
хөтөлбөр	x o tʰ o ɮ p o r
хөтөлбөрийг	x o tʰ o ɮ p o r iː ɡ
хөтөлбөрт	x o tʰ o ɮ p o r tʰ
хөтөлбөртэй	x o tʰ o ɮ p o r tʰ ɛ j
хөтөлбөрүүд	x o tʰ o ɮ p o r uː t
хөтөлгөө	x o tʰ o ɮ ɡ oː
хөтөлж	x o tʰ o ɮ t͡ʃ
хөтөллөө	x o tʰ o ɮ ɮ oː
хөтөлнө	x o tʰ o ɮ n o
хөх	x o x
хөхийг	x o x iː ɡ
хөхнийхөө	x o x n iː x oː
хөхрөхөө	x o x r o x oː
хөхрөөд	x o x r oː t
хөхүүртэй	x o x uː r tʰ ɛ j
хөхөвгөн	x o x o w ɡ o n
хөхөмдөг	x o x o m t o ɡ
хөхөрнө	x o x o r n o
хөхөрсөн	x o x o r s o n
хөхөрч	x o x o r t͡ʃʰ
хөхөх	x o x o x
хөхөө	x o x oː
хөшгийг	x o ʃ ɡ iː ɡ
хөшиг	x o ʃ i ɡ
хөшиж	x o ʃ i t͡ʃ
хөшчихөө	x o ʃ t͡ʃʰ i x oː
хөшөө	x o ʃ oː
хөшөөг	x o ʃ oː ɡ
хөшөөнд	x o ʃ oː n t
хөшөөнүүд	x o ʃ oː n uː t
хөшөөт	x o ʃ oː tʰ
хөө	x oː
хөөгдөнө	x oː ɡ t o n o
хөөгдөх	x oː ɡ t o x
хөөдөхгүй	x oː t o x ɡ u j
хөөе	x oː j i
хөөж	x oː t͡ʃ
хөөнөөс	x oː n oː s
хөөр	x oː r
хөөргөн	x oː r ɡ o n
хөөрдөг	x oː r t o ɡ
хөөрсний	x oː r s n iː
хөөртэй	x oː r tʰ ɛ j
хөөрхий	x oː r x iː
хөөрхийлөлтэй	x oː r x iː ɮ o ɮ tʰ ɛ j
хөөрхнөөс	x oː r x n oː s
хөөрхөн	x oː r x o n
хөөрч	x oː r t͡ʃʰ
хөөрүүлээд	x oː r uː ɮ ɛː t
хөөрөлдөж	x oː r o ɮ t o t͡ʃ
хөөрөөн	x oː r oː n
хөөс	x oː s
хөөсөн	x oː s o n
хөөсөөр	x oː s oː r
хөөх	x oː x
хөөцөлдсөнгүй	x oː t͡sʰ o ɮ t s o n ɡ u j
хөөцөлдөж	x oː t͡sʰ o ɮ t o t͡ʃ
хөөцөлдөн	x oː t͡sʰ o ɮ t o n
хөөцөлдөнө	x oː t͡sʰ o ɮ t o n o
хөөцөлдөх	x oː t͡sʰ o ɮ t o x
хөөцөлдөөд	x oː t͡sʰ o ɮ t oː t
хөөчихмөөр	x oː t͡ʃʰ i x m oː r
цаа	t͡sʰ aː
цаагуур	t͡sʰ aː ɡ ʊː r
цаад	t͡sʰ aː t
цаадах	t͡sʰ aː t a x
цаадуул	t͡sʰ aː t ʊː ɮ
цаадхыгаа	t͡sʰ aː t x iː ɡ aː
цаазаар	t͡sʰ aː t͡s aː r
цаазат	t͡sʰ aː t͡s a tʰ
цаазтай	t͡sʰ aː t͡s tʰ a j
цаазын	t͡sʰ aː t͡s iː n
цаана	t͡sʰ aː n a
цаанаас	t͡sʰ aː n aː s
цааргалах	t͡sʰ aː r ɡ a ɮ a x
цаас	t͡sʰ aː s
цаасан	t͡sʰ aː s a n
цаасны	t͡sʰ aː s n iː
цаастай	t͡sʰ aː s tʰ a j
цаасыг	t͡sʰ aː s iː ɡ
цааш	t͡sʰ aː ʃ
цаашаа	t͡sʰ aː ʃ aː
цаашгүй	t͡sʰ aː ʃ ɡ u j
цаашдаа	t͡sʰ aː ʃ t aː
цаашдын	t͡sʰ aː ʃ t iː n
цаашид	t͡sʰ aː ʃ i t
цаашилтал	t͡sʰ aː ʃ i ɮ tʰ a ɮ
цаашлаад	t͡sʰ aː ʃ ɮ aː t
цаашлах	t͡sʰ aː ʃ ɮ a x
цаашлуулан	t͡sʰ aː ʃ ɮ ʊː ɮ a n
цав	t͡sʰ a w
цавагт	t͡sʰ a w a ɡ tʰ
цавцайна	t͡sʰ a w t͡sʰ a j n a
цавчиж	t͡sʰ a w t͡ʃʰ i t͡ʃ
цавчин	t͡sʰ a w t͡ʃʰ i n
цаг	t͡sʰ a ɡ
цагаа	t͡sʰ a ɡ aː
цагаалахын	t͡sʰ a ɡ aː ɮ a x iː n
цагаан	t͡sʰ a ɡ aː n
цагаандаа	t͡sʰ a ɡ aː n t aː
цагааныг	t͡sʰ a ɡ aː n iː ɡ
цагаар	t͡sʰ a ɡ aː r
цагаас	t͡sʰ a ɡ aː s
цагаасаа	t͡sʰ a ɡ aː s aː
цагаатгах	t͡sʰ a ɡ aː tʰ ɡ a x
цагаач	t͡sʰ a ɡ aː t͡ʃʰ
цагаачид	t͡sʰ a ɡ aː t͡ʃʰ i t
цагдаа	t͡sʰ a ɡ t aː
цагдаагаас	t͡sʰ a ɡ t aː ɡ aː s
цагдаагийн	t͡sʰ a ɡ t aː ɡ iː n
цагдаагийнхан	t͡sʰ a ɡ t aː ɡ iː n x a n
цагдаад	t͡sʰ a ɡ t aː t
цагдан	t͡sʰ a ɡ t a n
цагийг	t͡sʰ a ɡ iː ɡ
цагийн	t͡sʰ a ɡ iː n
цагийнх	t͡sʰ a ɡ iː n x
цагирган	t͡sʰ a ɡ i r ɡ a n
цагт	t͡sʰ a ɡ tʰ
цагтаа	t͡sʰ a ɡ tʰ aː
цадах	t͡sʰ a t a x
цаддаггүй	t͡sʰ a t t a ɡ ɡ u j
цадиггүй	t͡sʰ a t i ɡ ɡ u j
цай	t͡sʰ a j
цайвар	t͡sʰ a j w a r
цайвартан	t͡sʰ a j w a r tʰ a n
цайвартах	t͡sʰ a j w a r tʰ a x
цайг	t͡sʰ a j ɡ
цайзад	t͡sʰ a j t͡s a t
цайзын	t͡sʰ a j t͡s iː n
цайлган	t͡sʰ a j ɮ ɡ a n
цаймагц	t͡sʰ a j m a ɡ t͡sʰ
цайнд	t͡sʰ a j n t
цайны	t͡sʰ a j n iː
цайруулах	t͡sʰ a j r ʊː ɮ a x
цайтай	t͡sʰ a j tʰ a j
цалин	t͡sʰ a ɮ i n
цалинг	t͡sʰ a ɮ i n ɡ
цалингаараа	t͡sʰ a ɮ i n ɡ aː r aː
цалингийн	t͡sʰ a ɮ i n ɡ iː n
цалинтай	t͡sʰ a ɮ i n tʰ a j
цамаан	t͡sʰ a m aː n
цамхагт	t͡sʰ a m x a ɡ tʰ
цамхгийн	t͡sʰ a m x ɡ iː n
цамц	t͡sʰ a m t͡sʰ
цамцаа	t͡sʰ a m t͡sʰ aː
цамцныхаа	t͡sʰ a m t͡sʰ n iː x aː
цамцтай	t͡sʰ a m t͡sʰ tʰ a j
цамыг	t͡sʰ a m iː ɡ
цан	t͡sʰ a n
цангадаг	t͡sʰ a n ɡ a t a ɡ
цанид	t͡sʰ a n i t
цар	t͡sʰ a r
царай	t͡sʰ a r a j
царайг	t͡sʰ a r a j ɡ
царайгаар	t͡sʰ a r a j ɡ aː r
царайд	t͡sʰ a r a j t
царайлаг	t͡sʰ a r a j ɮ a ɡ
царайлан	t͡sʰ a r a j ɮ a n
царайлсан	t͡sʰ a r a j ɮ s a n
царайн	t͡sʰ a r a j n
царайнаасаа	t͡sʰ a r a j n aː s aː
царайнуудыг	t͡sʰ a r a j n ʊː t iː ɡ
царайтай	t͡sʰ a r a j tʰ a j
царайчлан	t͡sʰ a r a j t͡ʃʰ ɮ a n
царгин	t͡sʰ a r ɡ i n
цардмал	t͡sʰ a r t m a ɮ
царцааны	t͡sʰ a r t͡sʰ aː n iː
цас	t͡sʰ a s
цасаар	t͡sʰ a s aː r
цасан	t͡sʰ a s a n
цасанд	t͡sʰ a s a n t
цасны	t͡sʰ a s n iː
цастай	t͡sʰ a s tʰ a j
цатгалан	t͡sʰ a tʰ ɡ a ɮ a n
цахилгаан	t͡sʰ a x i ɮ ɡ aː n
цахим	t͡sʰ a x i m
цахимын	t͡sʰ a x i m iː n
цахиур	t͡sʰ a x iʊ r
цахих	t͡sʰ a x i x
цахраад	t͡sʰ a x r aː t
цацаад	t͡sʰ a t͡sʰ aː t
цацгийн	t͡sʰ a t͡sʰ ɡ iː n
цацлаа	t͡sʰ a t͡sʰ ɮ aː
цацлын	t͡sʰ a t͡sʰ ɮ iː n
цацраг	t͡sʰ a t͡sʰ r a ɡ
цацрагаас	t͡sʰ a t͡sʰ r a ɡ aː s
цацрагийн	t͡sʰ a t͡sʰ r a ɡ iː n
цацрагуудын	t͡sʰ a t͡sʰ r a ɡ ʊː t iː n
цацсан	t͡sʰ a t͡sʰ s a n
цементээр	t͡sʰ j i mʲ i n tʰ ɛː r
цехийн	t͡sʰ j i x iː n
цирроз	t͡sʰ i r r ɔ t͡s
цог	t͡sʰ ɔ ɡ
цогиулав	t͡sʰ ɔ ɡ iʊ ɮ a w
цогиулсаар	t͡sʰ ɔ ɡ iʊ ɮ s aː r
цогтой	t͡sʰ ɔ ɡ tʰ ɔ j
цогц	t͡sʰ ɔ ɡ t͡sʰ
цогцлоосон	t͡sʰ ɔ ɡ t͡sʰ ɮ ɔː s ɔ n
цогцолбор	t͡sʰ ɔ ɡ t͡sʰ ɔ ɮ p ɔ r
цогцос	t͡sʰ ɔ ɡ t͡sʰ ɔ s
цогцсыг	t͡sʰ ɔ ɡ t͡sʰ s iː ɡ
цойлж	t͡sʰ ɔ j ɮ t͡ʃ
цол	t͡sʰ ɔ ɮ
цолд	t͡sʰ ɔ ɮ t
цолондоо	t͡sʰ ɔ ɮ ɔ n t ɔː
цолтой	t͡sʰ ɔ ɮ tʰ ɔ j
цолтойгоор	t͡sʰ ɔ ɮ tʰ ɔ j ɡ ɔː r
цолын	t͡sʰ ɔ ɮ iː n
цом	t͡sʰ ɔ m
цомнол	t͡sʰ ɔ m n ɔ ɮ
цомогт	t͡sʰ ɔ m ɔ ɡ tʰ
цоморлог	t͡sʰ ɔ m ɔ r ɮ ɔ ɡ
цомхон	t͡sʰ ɔ m x ɔ n
цомцогт	t͡sʰ ɔ m t͡sʰ ɔ ɡ tʰ
цонжинболдогт	t͡sʰ ɔ n t͡ʃ i n p ɔ ɮ t ɔ ɡ tʰ
цонх	t͡sʰ ɔ n x
цонхнууд	t͡sʰ ɔ n x n ʊː t
цонхны	t͡sʰ ɔ n x n iː
цонхоо	t͡sʰ ɔ n x ɔː
цонхоор	t͡sʰ ɔ n x ɔː r
цонхыг	t͡sʰ ɔ n x iː ɡ
